City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Sao Felix Do Xingu,BR,2021-07-12 23:24:39,-6.6447,-51.995,83.59,42,93,1.77
145,Cartagena,CO,2021-07-12 23:24:40,10.3997,-75.5144,82.38,79,33,14.03
146,Aykhal,RU,2021-07-12 23:24:40,66.0,111.5,59.56,77,98,7.25
147,Hobyo,SO,2021-07-12 23:24:40,5.3505,48.5268,76.95,84,79,29.53
148,Lavrentiya,RU,2021-07-12 23:24:40,65.5833,-171.0,48.49,85,83,7.81
149,Gizo,SB,2021-07-12 23:24:41,-8.103,156.8419,82.24,76,96,4.81
150,Fare,PF,2021-07-12 23:24:41,-16.7,-151.0167,79.36,74,6,20.6
151,Vieira De Leiria,PT,2021-07-12 23:24:41,39.8695,-8.9324,61.02,94,20,14.97
152,Mount Gambier,AU,2021-07-12 23:24:41,-37.8333,140.7667,49.91,100,90,10.36
153,Mogadishu,SO,2021-07-12 23:24:42,2.0371,45.3438,76.66,87,45,19.08
154,Ouegoa,NC,2021-07-12 23:24:42,-20.35,164.4333,72.86,67,35,5.5
155,Ayan,RU,2021-07-12 23:24:42,56.45,138.1667,57.74,88,100,5.5
156,Morondava,MG,2021-07-12 23:24:42,-20.2833,44.2833,68.34,54,0,2.77
157,Caravelas,BR,2021-07-12 23:24:42,-17.7125,-39.2481,71.22,80,0,5.79
158,Hami,CN,2021-07-12 23:24:43,42.8,93.45,79.25,25,95,14.12
159,Port Keats,AU,2021-07-12 23:24:43,-14.25,129.55,70.38,30,30,9.64
160,Carnarvon,AU,2021-07-12 23:20:52,-24.8667,113.6333,66.27,61,98,10.36
161,Victoria,HK,2021-07-12 23:24:16,22.2855,114.1577,88.32,84,100,1.01
162,Upernavik,GL,2021-07-12 23:24:43,72.7868,-56.1549,42.53,69,0,3.11
163,Hermanus,ZA,2021-07-12 23:24:44,-34.4187,19.2345,44.91,66,100,27.0
164,Takoradi,GH,2021-07-12 23:24:44,4.8845,-1.7554,75.94,79,49,8.21
165,Cabo San Lucas,MX,2021-07-12 23:24:44,22.8909,-109.9124,91.18,48,20,14.97
